STATIONS_ID,MESS_DATUM,QN_4,DK_TER,FK_TER,eor
3088,1943041121,5,24,3,eor
3088,1943041207,5,26,3,eor
3088,1943041214,5,2,1,eor
3088,1943041221,5,12,1,eor
3088,1943041307,5,16,1,eor
3088,1943041314,5,16,2,eor
3088,1943041321,5,18,1,eor
3088,1943041407,5,18,3,eor
3088,1943041414,5,22,5,eor
3088,1943041421,5,20,2,eor
3088,1943041507,5,16,2,eor
3088,1943041514,5,22,4,eor
3088,1943041521,5,26,3,eor
3088,1943041607,5,18,2,eor
3088,1943041614,5,22,4,eor
3088,1943041621,5,26,3,eor
3088,1943041707,5,22,2,eor
3088,1943041714,5,22,7,eor
3088,1943041721,5,22,6,eor
3088,1943041807,5,24,5,eor
3088,1943041814,5,22,5,eor
3088,1943041821,5,20,3,eor
3088,1943041907,5,20,4,eor
3088,1943041914,5,26,5,eor
3088,1943041921,5,26,2,eor
3088,1943042007,5,24,3,eor
3088,1943042014,5,28,4,eor
3088,1943042021,5,22,2,eor
3088,1943042107,5,24,1,eor
3088,1943042114,5,14,3,eor
3088,1943042121,5,12,2,eor
3088,1943042207,5,12,3,eor
3088,1943042214,5,16,4,eor
3088,1943042221,5,14,2,eor
3088,1943042307,5,20,2,eor
3088,1943042314,5,12,2,eor
3088,1943042321,5,12,1,eor
3088,1943042407,5,20,3,eor
3088,1943042414,5,18,3,eor
3088,1943042421,5,22,6,eor
3088,1943042507,5,20,3,eor
3088,1943042514,5,20,4,eor
3088,1943042521,5,20,1,eor
3088,1943042607,5,20,5,eor
3088,1943042614,5,20,10,eor
3088,1943042621,5,24,9,eor
3088,1943042707,5,22,5,eor
3088,1943042714,5,26,7,eor
3088,1943042721,5,22,3,eor
3088,1943042807,5,18,2,eor
3088,1943042814,5,26,3,eor
3088,1943042821,5,24,2,eor
3088,1943042907,5,20,4,eor
3088,1943042914,5,26,3,eor
3088,1943042921,5,24,2,eor
3088,1943043007,5,22,3,eor
3088,1943043014,5,22,3,eor
3088,1943043021,5,16,1,eor
3088,1943050107,5,4,1,eor
3088,1943050114,5,2,3,eor
3088,1943050121,5,2,1,eor
3088,1943050207,5,2,1,eor
3088,1943050214,5,6,4,eor
3088,1943050221,5,4,3,eor
3088,1943050307,5,6,3,eor
3088,1943050314,5,4,3,eor
3088,1943050321,5,2,1,eor
3088,1943050407,5,2,1,eor
3088,1943050414,5,32,2,eor
3088,1943050421,5,4,2,eor
3088,1943050507,5,4,1,eor
3088,1943050514,5,14,2,eor
3088,1943050521,5,2,1,eor
3088,1943050607,5,14,2,eor
3088,1943050614,5,16,1,eor
3088,1943050621,5,4,1,eor
3088,1943050707,5,28,2,eor
3088,1943050714,5,24,3,eor
3088,1943050721,5,22,2,eor
3088,1943050807,5,14,2,eor
3088,1943050814,5,12,5,eor
3088,1943050821,5,16,2,eor
3088,1943050907,5,14,2,eor
3088,1943050914,5,22,2,eor
3088,1943050921,5,22,5,eor
3088,1943051007,5,18,4,eor
3088,1943051014,5,20,6,eor
3088,1943051021,5,18,4,eor
3088,1943051107,5,18,4,eor
3088,1943051114,5,24,5,eor
3088,1943051121,5,24,2,eor
3088,1943051207,5,10,1,eor
3088,1943051214,5,20,3,eor
3088,1943051221,5,18,1,eor
3088,1943051307,5,20,3,eor
3088,1943051314,5,18,3,eor
3088,1943051321,5,16,1,eor
3088,1943051407,5,16,1,eor
3088,1943051414,5,26,2,eor
3088,1943051421,5,12,1,eor
3088,1943051507,5,4,1,eor
3088,1943051514,5,30,2,eor
3088,1943051521,5,28,4,eor
3088,1943051607,5,30,4,eor
3088,1943051614,5,28,4,eor
3088,1943051621,5,26,3,eor
3088,1943051707,5,24,3,eor
3088,1943051714,5,28,5,eor
3088,1943051721,5,26,3,eor
3088,1943051807,5,28,4,eor
3088,1943051814,5,28,3,eor
3088,1943051821,5,30,3,eor
3088,1943051907,5,28,2,eor
3088,1943051914,5,2,3,eor
3088,1943051921,5,4,1,eor
3088,1943052007,5,12,2,eor
3088,1943052014,5,12,3,eor
3088,1943052021,5,8,2,eor
3088,1943052107,5,12,2,eor
3088,1943052114,5,12,4,eor
3088,1943052121,5,8,2,eor
3088,1943052207,5,8,2,eor
3088,1943052214,5,10,4,eor
3088,1943052221,5,8,3,eor
3088,1943052307,5,12,2,eor
3088,1943052314,5,24,3,eor
3088,1943052321,5,24,1,eor
3088,1943052407,5,18,1,eor
3088,1943052414,5,8,2,eor
3088,1943052421,5,6,3,eor
3088,1943052507,5,12,2,eor
3088,1943052514,5,8,2,eor
3088,1943052521,5,6,1,eor
3088,1943052607,5,8,1,eor
3088,1943052614,5,4,3,eor
3088,1943052621,5,26,1,eor
3088,1943052707,5,20,3,eor
3088,1943052714,5,28,4,eor
3088,1943052721,5,28,2,eor
3088,1943052807,5,26,3,eor
3088,1943052814,5,26,4,eor
3088,1943052821,5,26,3,eor
3088,1943052907,5,26,4,eor
3088,1943052914,5,26,6,eor
3088,1943052921,5,26,3,eor
3088,1943053007,5,28,1,eor
3088,1943053014,5,32,2,eor
